OID,Shape_Length
1,3954.404306
2,4594.239638
3,4793.684026
4,4071.742577
5,3336.653737
6,3023.211396
7,3014.220821
8,3442.498879
9,3944.150578
10,4339.155085
11,5535.103853
12,5805.765017
13,5664.869464
14,5590.615554
15,5606.051522
16,5603.073559
17,5632.405749
18,5542.984382
19,5652.736924
20,5949.498043
21,6094.80347
22,6229.749099
23,6454.78834
24,6636.906544
25,6828.609674
26,7032.362317
27,6438.759481
28,5920.764156
29,5739.374939
30,5950.452832
31,6449.951579
32,6729.891465
33,7187.244576
34,7514.350088
35,7954.905711
36,8140.652365
37,8205.048148
38,8341.16148
39,8513.750271
40,8435.303595
41,8165.406
42,8898.309888
43,8784.366339
44,8135.60084
45,7172.443766
46,6727.624855
47,7441.130526
48,8540.556907
49,9278.77766
50,9341.92539
51,9235.299594
52,9213.606075
53,9490.239179
54,9224.30798
55,8884.959193
56,8848.418294
57,9162.53047
58,9534.231819
59,10287.01161
60,11245.88578
61,10949.56426
62,10206.41486
63,9899.791414
64,9651.567509
65,9365.675151
66,9201.210949
67,9168.765229
68,9013.027992
69,9056.915504
70,9340.593343
71,8678.466886
72,7129.810141
73,6437.25438
74,6178.881274
75,5901.19438
76,5422.80777
77,5080.922946
78,4798.311847
79,4227.196335
80,3629.42533
81,3545.552096
82,3493.468969
83,3485.687207
84,3614.661941
85,3754.681627
86,3538.104118
87,3708.404284
88,4030.882961
89,4295.346477
90,4482.475769
91,4650.129683
92,4718.440095
93,4542.265949
94,4383.858756
95,4227.61314
96,4326.622551
97,4487.583636
98,4505.817801
99,4511.000648
100,4232.226649
101,3693.165251
102,3302.975338
103,3045.487965
104,2871.766513
105,2786.304164
106,2976.961026
107,3391.62701
108,3825.426109
109,4109.538653
110,4333.043232
111,4455.885776
112,4529.92768
113,4587.738674
114,4710.500852
115,4743.951328
116,4800.22807
117,4880.085369
118,4778.003672
119,4463.090491
120,4034.878755
121,3710.749009
122,3437.073363
123,3134.892762
124,2772.50867
125,2590.528961
126,2349.500622
127,2091.256347
128,1820.591868
129,1640.793565
130,1527.452812
131,1558.753857
132,1679.139779
133,1862.656139
134,2097.61393
135,2172.504148
136,2281.64802
137,2471.125462
138,2641.244046
139,2546.632677
140,2353.230469
141,2166.82479
142,2037.736703
143,1868.279159
144,1540.779994
145,1202.06327
146,989.2165256
147,799.9758221
148,672.2854717
149,662.8234755
