OBJECTID,Shape_Length
1,1149.695197
2,1148.239816
3,1143.457196
4,1163.639765
5,1172.913597
6,1173.58299
7,1174.252087
8,1179.33583
9,1174.132427
10,1171.456426
11,1167.238012
12,1155.220812
13,1140.996446
14,1131.254632
15,1126.56164
16,1132.759404
17,1140.442124
18,1149.386763
19,1159.200547
20,1172.024776
21,1200.54601
22,1244.839755
23,1294.954567
24,1329.840886
25,1401.011349
26,1457.146988
27,1555.343697
28,1614.241698
29,1638.485637
30,1663.318173
31,1690.214003
32,1716.603286
33,1821.556435
34,1836.162445
35,1856.61767
36,1899.155005
37,1922.21709
38,1931.580599
39,1922.702382
40,1926.700951
41,1941.095988
42,2013.559015
43,2046.899208
44,2055.60019
45,2049.821529
46,2076.361691
47,2070.070394
48,2068.693972
49,2048.886071
50,1993.4264
51,1943.050243
52,1918.349748
53,1928.806955
54,1931.757916
55,1934.261647
56,1946.015786
57,1961.353846
58,1973.101661
59,1986.487524
60,2032.11945
61,2068.256879
62,2103.404696
63,2143.122165
64,2192.862022
65,2239.105781
66,2283.038954
67,2297.275768
68,2290.524637
69,2233.909942
70,2183.915637
71,2139.002249
72,2051.536579
73,1972.837202
74,1954.80928
75,1941.151738
76,1934.181477
77,1926.611337
78,1926.388601
79,1931.244372
80,1939.23077
81,1941.435377
82,1947.316939
83,1952.687154
84,1959.25817
85,2065.153116
86,2127.713473
87,2156.53967
88,2174.859485
89,2187.51541
90,2196.386708
91,2213.897822
92,2233.020931
93,2248.44407
94,2257.980491
95,2259.989517
96,2261.130227
97,2274.390297
98,2280.734757
99,2278.822208
100,2274.79487
101,2267.37648
102,2262.243946
103,2292.124121
104,2301.866681
105,2311.183973
106,2318.351835
107,2325.320818
108,2321.909642
109,2301.047556
110,2277.423517
111,2273.662983
112,2261.570799
113,2226.229568
114,2225.362863
115,2218.850656
116,2209.126459
117,2181.636657
118,2144.386828
119,2111.484195
120,2092.47403
121,2085.423654
122,2080.763977
123,2067.625729
124,2054.027194
125,2040.229995
126,2025.433385
127,2014.230394
128,1993.281147
129,1962.470906
130,1919.014111
131,1876.78067
132,1846.345341
133,1839.08969
134,1836.59844
135,1853.865884
136,1876.878894
137,1878.078287
138,1884.334288
139,1885.827437
140,1877.634282
141,1867.837615
142,1855.045586
143,1847.935759
144,1845.173872
145,1830.644604
146,1817.224685
147,1804.713527
148,1734.17604
149,1682.689675
150,1639.369713
151,1568.013886
152,1566.640621
153,1557.408574
154,1551.301736
155,1548.413155
156,1551.611216
157,1556.050698
158,1551.787662
159,1555.836791
160,1548.544418
161,1547.186943
162,1542.492988
163,1540.704523
164,1537.803624
165,1533.768044
166,1525.875782
167,1520.025287
168,1519.824173
169,1525.493476
170,1524.611839
171,1526.172308
172,1525.241926
173,1527.612847
174,1532.581715
175,1534.533531
176,1527.549142
177,1520.40029
178,1500.468117
179,1493.276002
180,1489.193522
181,1485.11092
182,1482.042282
183,1478.507708
184,1466.845897
185,1454.437779
186,1440.206269
187,1428.480461
188,1411.666513
189,1389.979372
190,1372.826001
191,1359.776891
192,1345.937484
193,1331.389449
194,1310.288752
195,1289.803686
196,1268.533664
197,1248.777878
198,1232.33376
199,1223.529753
200,1209.976232
201,1202.29701
202,1190.482638
203,1193.387015
204,1193.652338
205,1190.929425
206,1183.663386
207,1175.221751
208,1151.597851
209,1136.714112
210,1129.13838
211,1122.979206
212,1111.04433
213,1104.338519
214,1073.237195
215,1041.794794
216,1024.311042
217,1006.932572
218,991.8743756
219,978.1222039
220,953.0480541
221,925.6929664
222,917.025857
223,919.4869403
224,911.5867844
225,896.6619266
226,884.0295925
227,878.6987478
228,872.5559271
229,881.0646693
230,886.5576486
231,892.8190973
232,902.2732611
233,897.1352708
234,911.8765207
235,921.653147
236,919.6250052
237,922.8258097
238,932.5671752
239,935.9651197
240,936.4482194
241,942.906721
242,950.938901
243,959.0457802
244,966.909672
245,962.0626652
246,978.7343218
247,987.2107161
248,989.0658735
249,985.8889134
250,979.4553806
251,973.3764278
252,967.7011847
253,962.4526254
254,960.0957114
255,962.0055884
256,958.9269216
257,960.1718507
258,964.4730506
259,968.9085028
260,971.7642497
261,971.2253405
262,969.9488772
263,965.9772811
264,966.1948319
265,964.7010315
266,955.665306
267,952.9952779
268,946.6651937
269,930.1802649
270,930.7531873
271,854.3643067
272,830.3113663
273,806.6634082
274,806.5655728
275,811.2015407
276,811.6759473
277,814.8002289
278,812.317232
279,806.1875589
280,795.8145757
281,777.5723164
282,774.5800718
283,765.3747919
284,751.4508217
285,735.7950108
286,721.5377859
287,718.2088529
288,720.0780969
289,715.243886
290,708.0811455
291,699.1719939
292,692.2886465
293,685.348542
294,654.2358761
295,612.4066598
296,573.1830726
297,527.4150724
298,467.0080429
299,429.7255997
300,406.5474339
301,394.3263279
302,401.6173598
303,392.1417569
304,383.0718599
305,374.6080246
306,373.1127823
307,375.7500916
308,388.308135
309,398.9993827
310,403.1552522
311,396.8778214
312,370.356025
313,376.1399796
314,383.2644642
315,376.726731
316,361.4695177
317,357.6893697
318,351.6329075
319,336.4815515
320,317.9654411
321,300.3750757
322,281.4829362
323,257.6782253
324,236.3375954
325,222.4821607
326,207.2403669
327,192.1574839
328,180.5589294
329,170.1229907
330,158.3075208
331,150.8211231
332,151.6879707
333,157.1443878
334,164.6245259
335,166.4411131
336,158.8892627
337,160.568496
338,170.7922324
339,185.5182164
340,184.3545419
341,183.0861876
342,184.5319257
343,186.3046518
344,188.2354759
345,190.1531939
346,195.698191
347,198.226766
348,200.3140899
349,202.4388689
350,211.3607202
351,223.6157887
352,234.4591689
353,246.1383059
354,260.6666578
355,279.6235824
356,298.8824199
357,310.1297954
358,317.3684545
359,317.0808413
360,310.7728283
361,301.1647296
362,280.7787515
363,248.6630955
364,213.7849431
365,216.6186993
366,199.7241514
367,203.6912916
368,190.7805734
369,167.4824687
370,154.6355065
371,132.9634784
372,113.964223
373,102.4822644
374,94.92553625
375,97.4276176
376,116.8785745
377,154.111702
378,148.685181
379,146.0798501
380,143.5466208
381,131.6426057
382,132.4856326
383,150.1362775
384,162.6780154
385,165.7281999
386,152.2680903
387,124.4206935
388,107.3294066
389,102.214856
390,100.7154588
391,100.6315062
392,98.59358625
393,95.96633866
394,94.43203284
395,107.3098084
396,118.2021401
397,112.4199741
398,103.329567
399,99.4951188
400,101.3388631
401,107.0801927
402,111.3336968
403,115.4753605
404,112.1278146
405,105.1228591
406,94.76921456
407,82.58889859
408,82.35157423
409,84.15622922
410,86.84011406
411,86.78470951
412,79.8952952
413,70.74590565
414,73.98176946
415,72.31171737
416,69.50613425
417,68.03180106
418,67.40916501
419,68.73000375
420,67.1630791
421,67.41962663
422,74.98960606
423,83.56852887
424,82.49427049
425,75.55849958
426,71.43103489
427,61.43699479
428,58.00509412
429,89.33280025
430,214.0849224
431,94.04763526
432,62.58716668
433,55.4255808
434,50.72325923
435,50.67223253
436,51.65294676
437,55.04116555
438,57.24906809
439,58.44035262
440,57.01404743
441,57.63750371
442,59.55171646
443,58.02794972
444,56.16018719
445,54.51550256
446,52.70805782
447,53.0866127
448,49.03685044
449,47.79254746
450,48.764168
451,49.41734991
452,51.12350493
453,50.2789115
454,52.37635689
455,54.18314335
456,53.83347936
457,58.41096975
458,55.12801579
459,59.53332501
460,69.12064404
461,74.3316875
462,75.90954452
463,70.43482429
464,73.60007891
465,62.13302113
466,39.2120624
467,38.05790807
468,37.87529721
469,36.53021936
470,38.4566636
471,41.76363127
472,45.74058956
473,47.46107059
474,55.98965027
475,70.91269139
476,85.82294362
