OID,Shape_Length
1,5078.077826
2,5090.38896
3,5111.292721
4,5132.196356
5,5152.781915
6,5171.039883
7,5191.900672
8,5212.761388
9,5233.622147
10,5254.482913
11,5278.70225
12,5305.933394
13,5326.844833
14,5347.756317
15,5368.667733
16,5390.196771
17,5397.972672
18,5400.638399
19,5403.304011
20,5449.405672
21,5514.964819
22,5441.412279
23,5461.83837
24,5523.026946
25,5584.217915
26,5645.408345
27,5591.476685
28,5578.081877
29,5635.222952
30,5692.366147
31,5749.508511
32,5806.652501
33,5863.797419
34,5823.480412
35,5792.594275
36,5846.244837
37,5899.89613
38,5953.547845
39,6007.199141
40,6060.851868
41,6059.811343
42,6021.107311
43,6072.255503
44,6123.402707
45,6165.962105
46,6200.838541
47,6235.715522
48,6266.096256
49,6193.145508
50,6207.586199
51,6222.027322
52,6236.468359
53,6250.909397
54,6265.350319
55,6279.791788
56,6256.157179
57,6229.003294
58,6243.085789
59,6257.168383
60,6271.251267
61,6285.333558
62,6299.416447
63,6313.499483
64,6325.771659
65,6315.07402
66,6322.236934
67,6333.795888
68,6345.354486
69,6356.913493
70,6368.472387
71,6380.031053
72,6391.590127
73,6403.14906
74,6414.707799
75,6426.266995
76,6427.19021
77,6424.853276
78,6422.516337
79,6420.179325
80,6417.842413
81,6415.505442
82,6413.168435
83,6410.831493
84,6408.49452
85,6406.157596
86,6388.867615
87,6367.662189
88,6346.456464
89,6325.251152
90,6304.045597
91,6282.840203
92,6261.635054
93,6240.429551
94,6218.509806
95,6187.951135
96,6157.391964
97,6126.833577
98,6096.27469
99,6065.71622
100,6035.158112
101,6004.599647
102,5974.041523
103,5943.483771
104,5912.925636
105,5882.368118
106,5871.008844
107,5863.311245
108,5864.76304
109,5868.034114
110,5871.305491
111,5882.075214
112,5896.69538
113,5916.118691
114,5935.54192
115,5954.965179
116,5974.388526
117,5993.811754
118,6013.235002
119,6032.658374
120,6052.081638
121,6071.504914
122,6090.92822
123,6111.030468
124,6133.545404
125,6156.060506
126,6178.575451
127,6201.090551
128,6223.605609
129,6263.121904
130,6303.954561
131,6344.786692
132,6385.619607
133,6426.451999
134,6467.284915
135,6508.117719
136,6548.950945
137,6589.784237
138,6630.617274
139,6671.451007
140,6712.284146
141,6753.118315
142,6793.951867
143,6837.391374
144,6882.283909
145,6927.177061
146,6972.07045
147,7016.963412
148,7061.857288
149,7106.750616
150,7151.644851
151,7204.1669
152,7269.412216
153,7325.05069
154,7380.139077
155,7436.158815
156,7492.812188
157,7547.873835
158,7602.935495
159,7656.310466
160,7704.878734
161,7753.447019
162,7802.015147
163,7850.583323
164,7899.151334
165,7947.719367
166,7994.08194
167,8017.857816
168,8054.916424
169,8091.974993
170,8129.033582
171,8166.091977
172,8203.150382
173,8240.208747
174,8229.623184
175,8228.778765
176,8247.598913
177,8266.419295
178,8285.238668
179,8304.05893
180,8311.720865
181,8242.678984
182,8261.040434
183,8279.401432
184,8297.4799
185,8313.191134
186,8328.902043
187,8287.446162
188,8266.350688
189,8281.70347
190,8297.056484
191,8312.409055
192,8327.761781
193,8295.179143
194,8292.261489
195,8306.913043
196,8317.335551
197,8327.757201
198,8338.179406
199,8348.601387
200,8359.023126
201,8317.739372
202,8320.36415
203,8330.638929
204,8340.913435
205,8351.18819
206,8361.462596
207,8371.737305
208,8382.011644
209,8384.367813
210,8375.77868
211,8387.248944
212,8398.719284
213,8410.189469
214,8421.659707
215,8433.130021
216,8444.600075
217,8456.070362
218,8467.540446
219,8472.537876
220,8477.930807
221,8489.368501
222,8500.806106
223,8512.243728
224,8523.681377
225,8535.118952
226,8546.556577
227,8557.994093
228,8569.431734
229,8580.869259
230,8591.600802
231,8599.679027
232,8611.10719
233,8622.535427
234,8633.963589
235,8645.3918
236,8656.819962
237,8668.248135
238,8679.676334
239,8691.104487
240,8702.532649
241,8713.960828
242,8725.388985
243,8736.817106
244,8748.245279
245,8759.673426
246,8772.108648
247,8787.061321
248,8802.01397
249,8817.720268
250,8835.86414
251,8850.831161
252,8865.798275
253,8880.765362
254,8895.732514
255,8910.699601
256,8925.666774
257,8940.633922
258,8955.601056
259,8970.568314
260,8985.535382
261,9000.502671
262,9015.469816
263,9030.43707
264,9045.404265
265,9060.371561
266,9075.338743
267,9090.306086
268,9109.073503
269,9129.704889
270,9150.336145
271,9168.641409
272,9183.385481
273,9198.129136
274,9212.873313
275,9227.617086
276,9242.361363
277,9257.105241
278,9271.849635
279,9286.593788
280,9301.338103
281,9316.082189
282,9330.8268
283,9345.571214
284,9360.315453
285,9368.878798
286,9370.095845
287,9371.312972
288,9372.530028
289,9373.747153
290,9377.182013
291,9381.034554
292,9382.253873
293,9383.473198
294,9384.692522
295,9385.911837
296,9387.131128
297,9388.350499
298,9389.569816
299,9390.789143
300,9392.008482
301,9393.227807
302,9399.908022
303,9399.087517
304,9383.567209
305,9368.046655
306,9352.526395
307,9337.006235
308,9321.485838
309,9305.965717
310,9290.44572
311,9274.925644
312,9259.405325
313,9243.885645
314,9228.734284
315,9218.814267
316,9208.894551
317,9198.974709
318,9189.054815
319,9179.134986
320,9169.21529
321,9159.295509
322,9149.375608
323,9139.456024
324,9129.53632
325,9119.616464
326,9109.696929
327,9099.777264
328,9090.363735
329,9094.995747
330,9085.041866
331,9075.087575
332,9065.13366
333,9055.179731
334,9045.225537
335,9035.271774
336,9028.102998
337,9028.206702
338,9028.310505
339,9028.414209
340,9028.517985
341,9028.621741
342,9028.725495
343,9028.044943
344,9027.757108
345,9027.859271
346,9027.961418
347,9028.063602
348,9028.165763
349,9028.267919
350,9034.365775
351,9044.438572
352,9054.511817
353,9050.551055
354,9056.430802
355,9066.461093
356,9076.491661
357,9086.521909
358,9096.552419
359,9106.582877
360,9116.613299
361,9126.643685
362,9128.748894
363,9134.375321
364,9144.376504
365,9154.377623
366,9164.378835
367,9174.380018
368,9184.381168
369,9194.382406
370,9204.383554
371,9210.634043
372,9214.987104
373,9217.08614
374,9219.185155
375,9221.284524
376,9223.383555
377,9225.482707
378,9227.581845
379,9229.681013
380,9223.796288
381,9213.437252
382,9215.525417
383,9217.613525
384,9219.701631
385,9221.789672
386,9223.877848
387,9231.518426
388,9239.472376
389,9247.426485
390,9255.380316
391,9263.334467
392,9271.288479
393,9279.242378
394,9287.196575
395,9295.150499
396,9278.242623
397,9282.152351
398,9290.055115
399,9297.958297
400,9305.861077
401,9313.764274
402,9321.667077
403,9329.570296
404,9337.473121
405,9345.376363
406,9353.279217
407,9361.182488
408,9369.08535
409,9376.98863
410,9384.891529
411,9392.794838
412,9400.697745
413,9408.512816
414,9404.560571
415,9412.442924
416,9420.325211
417,9428.207404
418,9436.08979
419,9443.972088
420,9451.854321
421,9459.736726
422,9467.619049
423,9471.704214
424,9467.737163
425,9459.95534
426,9452.173497
427,9444.391685
428,9436.609844
429,9428.828035
430,9421.046223
431,9413.264354
432,9405.482557
433,9397.700731
434,9389.918863
435,9382.137063
436,9374.355234
437,9366.573377
438,9358.791574
439,9351.009742
440,9343.227889
441,9335.446076
442,9327.664256
443,9319.8824
444,9312.100584
445,9304.318731
446,9296.536925
447,9288.755097
448,9280.973241
449,9273.191443
450,9265.409601
451,9257.627742
452,9249.845931
453,9242.06409
454,9234.282235
455,9226.50042
456,9218.718591
457,9210.936739
458,9203.154922
459,9195.523822
460,9187.899291
461,9180.274745
462,9172.650162
463,9165.025635
464,9157.401079
465,9149.7765
466,9142.151956
467,9134.527404
468,9126.902829
469,9119.278321
470,9111.65374
471,9104.029142
472,9096.404599
473,9088.780037
474,9081.15549
475,9073.530927
476,9065.906342
477,9057.66592
478,9049.681704
479,9042.058458
480,9034.43519
481,9026.811923
482,9019.188683
483,9011.565428
484,9003.942166
485,8996.318917
486,8988.695683
487,8981.072414
488,8973.449153
489,8965.825947
490,8958.202657
491,8950.579401
492,8942.956173
493,8935.332916
494,8927.709652
495,8920.086422
496,8912.463185
497,8902.780962
498,8890.284359
499,8877.78763
500,8864.783052
501,8848.811636
502,8832.84017
503,8816.868636
504,8800.897217
505,8784.925749
506,8768.954229
507,8752.982716
508,8737.011297
509,8721.039766
510,8705.068229
511,8689.096773
512,8673.125309
513,8657.153726
514,8640.194525
515,8623.426419
516,8607.460976
517,8591.495665
518,8575.530251
519,8559.564929
520,8543.599503
521,8527.634159
522,8511.668763
523,8495.703452
524,8479.738029
525,8463.772644
526,8447.807362
527,8431.841908
528,8415.876558
529,8399.911252
530,8383.945805
531,8367.9805
532,8352.015139
533,8336.049722
534,8320.084328
535,8304.119011
536,8288.153597
537,8271.418794
538,8255.510511
539,8239.547098
540,8223.583708
541,8208.38279
542,8193.194014
543,8178.005262
544,8162.816488
545,8147.627737
546,8132.438986
547,8117.250244
548,8102.061498
549,8086.872762
550,8071.683997
551,8056.495287
552,8041.306523
553,8026.117826
554,8010.929061
555,7995.717791
556,7981.760785
557,7966.566238
558,7951.371627
559,7936.1771
560,7920.982552
561,7905.788047
562,7890.593479
563,7875.398986
564,7857.354033
565,7838.473044
566,7819.59205
567,7800.711051
568,7781.830036
569,7762.949027
570,7744.068012
571,7725.186951
572,7706.305939
573,7686.078831
574,7667.370657
575,7648.49346
576,7629.616286
577,7610.739087
578,7591.861916
579,7572.984777
580,7554.107589
581,7535.230457
582,7516.353327
583,7497.476179
584,7478.599075
585,7459.721934
586,7440.844834
587,7427.179269
588,7415.824515
589,7403.305318
590,7384.182132
591,7372.853794
592,7361.525443
593,7350.197114
594,7338.868731
595,7327.540363
596,7316.211996
597,7304.883625
598,7293.555235
599,7282.226836
600,7270.898439
601,7259.569994
602,7248.241667
603,7236.913204
604,7225.254888
605,7209.783686
606,7198.468639
607,7187.153693
608,7175.838679
609,7164.523683
610,7153.208652
611,7141.893714
612,7130.578644
613,7119.263694
614,7107.948681
615,7096.633652
616,7085.318622
617,7074.003635
618,7062.688566
619,7051.373577
620,7038.346703
621,7026.358038
622,7015.050194
623,7003.742402
624,6992.434571
625,6981.126711
626,6969.818937
627,6958.511104
628,6947.203252
629,6935.895445
630,6924.58765
631,6913.279805
632,6901.971992
633,6890.664192
634,6878.913289
635,6867.854294
636,6856.546509
637,6845.238814
638,6833.931068
639,6822.623324
640,6811.31559
641,6800.215812
642,6790.300324
643,6780.384858
644,6769.658683
645,6756.806474
646,6743.954363
647,6730.911693
648,6714.83436
649,6701.994551
650,6689.154732
651,6676.314938
652,6663.475084
653,6650.635257
654,6637.795452
655,6624.955669
656,6612.115852
657,6599.276021
658,6586.436224
659,6573.59635
660,6560.75657
661,6547.597548
662,6534.776229
663,6521.936774
664,6509.097455
665,6496.258088
666,6483.418729
667,6470.579375
668,6457.739966
669,6444.900647
670,6432.061284
671,6419.221974
672,6406.382605
673,6397.813778
674,6385.370796
675,6372.511449
676,6358.14404
677,6343.766051
678,6329.388263
679,6315.01041
680,6300.632598
681,6286.254821
682,6271.876943
683,6261.565573
684,6258.54286
685,6244.091129
686,6229.63932
687,6215.187621
688,6200.735827
689,6186.284166
690,6173.552676
691,6173.827899
692,6174.103218
693,6172.462107
694,6166.557841
695,6166.831721
696,6167.105527
697,6167.37938
698,6167.65324
699,6167.927103
700,6168.200929
701,6168.474787
702,6167.817603
703,6167.549286
704,6167.822489
705,6160.794841
706,6150.900673
707,6141.006477
708,6131.112235
709,6121.217967
710,6111.323868
711,6101.429589
712,6085.102227
713,6069.748202
714,6059.891552
715,6050.034754
716,6040.178009
717,6030.321286
718,6020.464628
719,6010.607804
720,6000.751043
721,5990.894356
722,5981.037483
723,5967.531119
724,5954.671713
725,5944.836395
726,5935.00119
727,5925.165832
728,5915.330529
729,5905.495219
730,5895.659931
731,5885.824573
732,5875.989278
733,5866.153948
734,5856.318618
735,5846.483319
736,5833.123401
737,5822.100818
738,5812.281117
739,5802.461482
740,5792.641812
741,5782.822166
742,5773.00249
743,5763.18283
744,5753.363183
745,5743.543502
746,5733.723849
747,5723.904173
748,5714.084506
749,5704.264826
750,5694.445152
751,5684.625462
752,5674.805801
753,5664.986145
754,5655.166409
755,5645.34673
