OID,Shape_Length
1,3400
2,3372.90851
3,3346.032888
4,3319.371413
5,3292.922379
6,3266.684093
7,3240.654876
8,3214.833062
9,3189.216998
10,3163.805046
11,3138.595578
12,3113.586981
13,3088.777655
14,3064.166011
15,3039.750476
16,3015.529485
17,2991.501489
18,2967.66495
19,2944.018343
20,2920.560155
21,2897.288882
22,2874.203038
23,2851.301143
24,2828.581733
25,2806.043353
26,2783.68456
27,2761.503925
28,2739.500026
29,2717.671457
30,2696.016819
31,2674.534728
32,2653.223807
33,2632.082694
34,2611.110035
35,2590.304488
36,2569.664721
37,2549.189414
38,2528.877255
39,2508.726946
40,2488.737196
41,2468.906726
42,2449.234267
43,2429.71856
44,2410.358355
45,2391.152415
46,2372.099509
47,2353.198418
48,2334.447932
49,2315.846852
50,2297.393987
51,2279.088157
52,2260.928188
53,2242.91292
54,2225.041198
55,2207.311881
56,2189.723832
57,2172.275926
58,2154.967046
59,2137.796085
60,2120.761944
61,2103.863532
62,2087.099768
63,2070.46958
64,2053.971902
65,2037.605679
66,2021.369863
67,2005.263416
68,1989.285306
69,1973.434511
70,1957.710017
71,1942.110817
72,1926.635913
73,1911.284314
74,1896.055037
75,1880.947109
76,1865.959563
77,1851.091438
78,1836.341784
79,1821.709656
80,1807.194118
81,1792.794242
82,1778.509105
83,1764.337793
84,1750.279399
85,1736.333023
86,1722.497774
87,1708.772765
88,1695.157118
89,1681.649962
90,1668.250432
91,1654.95767
92,1641.770827
93,1628.689057
94,1615.711524
95,1602.837397
96,1590.065852
97,1577.396072
98,1564.827245
99,1552.358569
100,1539.989243
101,1527.718478
102,1515.545487
103,1503.469492
104,1491.489719
105,1479.605402
106,1467.81578
107,1456.120099
108,1444.51761
109,1433.00757
110,1421.589244
111,1410.2619
112,1399.024813
113,1387.877264
114,1376.81854
115,1365.847932
116,1354.96474
117,1344.168265
118,1333.457818
119,1322.832713
120,1312.292269
121,1301.835812
122,1291.462674
123,1281.172189
124,1270.9637
125,1260.836553
126,1250.7901
127,1240.823698
128,1230.936709
129,1221.128501
130,1211.398445
131,1201.745919
132,1192.170305
133,1182.67099
134,1173.247367
135,1163.898832
136,1154.624787
137,1145.424639
138,1136.297797
139,1127.24368
140,1118.261706
141,1109.351302
142,1100.511896
143,1091.742924
144,1083.043823
145,1074.414038
146,1065.853015
147,1057.360207
148,1048.935071
149,1040.577067
150,1032.285661
151,1024.060321
152,1015.900521
153,1007.805739
154,999.7754568
155,991.8091609
156,983.906341
157,976.0664915
158,968.2891105
159,960.5737005
160,952.9197674
161,945.3268215
162,937.7943769
163,930.3219515
164,922.9090669
165,915.5552489
166,908.2600267
167,901.0229334
168,893.843506
169,886.7212848
170,879.6558141
171,872.6466416
172,865.6933189
173,858.7954008
174,851.9524459
175,845.1640163
176,838.4296774
177,831.7489983
178,825.1215515
179,818.5469127
180,812.0246612
181,805.5543795
182,799.1356536
183,792.7680727
184,786.4512292
185,780.1847188
186,773.9681405
187,767.8010964
188,761.6831919
189,755.6140354
190,749.5932384
191,743.6204156
192,737.6951848
193,731.8171668
194,725.9859853
195,720.2012671
196,714.4626421
197,708.7697429
198,703.1222052
199,697.5196676
200,691.9617715
