OID,Shape_Length
1,2697
2,2697
3,2697
4,2697
5,2697
6,2697
7,2958
8,3262.5
9,3567
10,3828
11,4089
12,4350
13,7147.123287
14,7461.282552
15,7775.441818
16,8089.601083
17,8403.760348
18,8717.919614
19,9032.078879
20,9346.238144
21,9660.39741
22,9974.556675
23,10288.71594
24,10602.87521
25,10917.03447
26,11231.19374
27,11545.353
28,11859.51227
29,12173.67153
30,12487.8308
31,12801.99006
32,13116.14933
33,13430.30859
34,13744.46786
35,14058.62712
36,14372.78639
37,14686.94566
38,15001.10492
39,15315.26419
40,15629.42345
41,15943.58272
42,16257.74198
43,16571.90125
44,16886.06051
45,17200.21978
46,17514.37904
47,17828.53831
48,18142.69757
49,18456.85684
50,18771.01611
51,19085.17537
52,19399.33464
53,19713.4939
54,20027.65317
55,20341.81243
56,20655.9717
57,20970.13096
58,21284.29023
59,21598.44949
60,21912.60876
61,22226.76802
62,22540.92729
63,22855.08655
64,23169.24582
65,23483.40509
66,23797.56435
67,24111.72362
68,24425.88288
69,24740.04215
70,25054.20141
71,25368.36068
72,25682.51994
73,25996.67921
74,26310.83847
75,26624.99774
76,26939.157
77,27253.31627
78,27567.47554
79,27881.6348
80,28195.79407
81,28509.95333
82,28824.1126
83,29138.27186
84,29452.43113
85,29766.59039
86,30080.74966
87,30394.90892
88,30709.06819
89,31023.22745
90,31337.38672
91,31651.54598
92,31965.70525
93,32279.86452
94,32594.02378
95,32908.18305
96,33222.34231
97,33536.50158
98,33850.66084
99,34164.82011
100,38
