OID,Shape_Length
1,4071.809701
2,4156.656552
3,4205.828272
4,4472.077756
5,4489.106297
6,4637.879477
7,4726.727332
8,5014.211236
9,5111.010313
10,5176.320033
11,5590.67568
12,5749.483883
13,5959.850055
14,6028.429091
15,6139.245369
16,6261.777599
17,6344.040747
18,6373.701818
19,6344.774757
20,6310.648879
21,6465.993602
22,6592.492839
23,6662.782725
24,6806.260848
25,7084.800411
26,7242.492875
27,7915.045606
28,8106.632082
29,8166.288589
30,8168.881245
31,8447.136618
32,8556.274946
33,8534.427461
34,8457.149306
35,8295.252972
36,8328.608161
37,8483.522715
38,8413.553391
39,8307.620271
40,8201.820757
41,8076.637754
42,7972.634338
43,7883.534493
44,7732.714126
45,7600.171318
46,7398.70951
47,7141.976271
48,7132.868277
49,6832.151921
50,6574.569125
51,6356.229475
52,6151.655997
53,5929.257834
54,5690.49236
55,5601.616313
56,5515.511393
57,5586.9417
58,5735.355252
59,6025.847578
60,6244.190669
61,6484.680728
62,6808.388169
63,6992.244874
64,7048.258024
65,7108.185191
66,7139.30613
67,7277.944593
68,7293.05419
69,7396.853217
70,7372.748623
71,7315.88152
72,7320.110656
73,7301.645378
74,7270.503408
75,7245.342452
76,6649.716166
77,6576.774533
78,6494.081643
79,6386.374345
80,6273.245083
81,6118.83399
82,5919.345645
83,5789.41184
84,5645.07288
85,5268.472495
86,5109.915394
87,4941.7072
88,4788.856156
89,4640.244539
90,4474.829229
91,4448.427839
92,4560.575741
93,4680.605522
94,4724.699689
95,4832.469828
96,4863.121979
97,4934.768559
98,4930.870613
99,5077.047496
100,5116.429786
101,5018.18971
102,5430.517022
103,5666.990477
104,5762.150196
105,5904.880674
106,5957.647146
107,5974.133935
108,6016.209553
109,6073.221189
110,6140.81431
111,5978.461915
112,5717.880333
113,5627.409925
114,5179.77264
115,5161.898369
116,5208.913059
117,5400.399146
118,5523.827373
119,5558.236613
120,5408.144707
121,5242.245309
122,5121.722471
123,4994.485605
124,4764.537867
125,4457.531856
126,4305.277703
127,4185.106125
128,4070.47486
129,3972.887366
130,3999.006958
131,4037.684531
132,4098.350657
133,4294.800784
134,4522.709685
135,4541.313072
136,4769.603647
137,5204.838914
138,4921.327172
139,4897.386846
140,4736.110272
141,4642.251421
142,4789.7628
143,4699.103127
144,4501.274404
145,4384.63756
146,4326.027699
147,4276.524863
148,4219.981896
149,4118.753432
150,4189.184006
151,4156.614604
152,4076.81728
153,4163.466226
154,4243.180336
155,4336.188845
